driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
Below 1yr,Automobile,Undivided Two way,Tangent road with mountainous terrain and,No junction,Wet or damp,Darkness - lights lit,Raining,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Double carriageway (median),Tangent road with mild grade and flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,One way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Overtaking,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Steep grade downward with mountainous terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Other,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Taxi,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
Below 1yr,Public (> 45 seats),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),other,Steep grade downward with mountainous terrain,Crossing,Dry,Daylight,Normal,,Moving Backward,Crossing from driver's nearside,Slight Injury
Below 1yr,Bajaj,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),other,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Dry,Daylight,Normal,,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Turnover,Not a Pedestrian,Slight Injury
1-2yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Other,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,One way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (12 seats),Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,U-Turn,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Stopping,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Stopping,Not a Pedestrian,Slight Injury
1-2yr,Public (13?45 seats),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,Steep grade downward with mountainous terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,other,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Turbo,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Unknown or other,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Reversing,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,,Other,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,,Reversing,Crossing from driver's nearside,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,,Other,Not a Pedestrian,Slight Injury
1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Double carriageway (median),Tangent road with flat terrain,Other,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Other,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Above 10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Stopping,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Above 10yr,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Serious Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Slight Injury
1-2yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,,Entering a junction,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Entering a junction,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Other,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Other,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
1-2yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Overtaking,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Public (13?45 seats),One way,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Public (12 seats),other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
5-10yr,Automobile,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
1-2yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Dry,Daylight,Normal,,Reversing,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
1-2yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Sharp reverse curve,Y Shape,Dry,Daylight,Normal,,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Automobile,Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Other,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Turbo,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
1-2yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (12 seats),Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (> 45 seats),Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (13?45 seats),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
No Licence,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Public (> 45 seats),Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
